주소,위도,경도
강원도 강릉시 사임당로 178,37.766299,128.8611138
강원 강릉시 구정면 칠성로 187,37.7069631,128.904158
강원 강릉시 연곡면 동해대로 4091,37.8565063,128.8394624
강원 강릉시 사천면 동해대로 3576,37.805104,128.8611672
강원 강릉시 범일로 475 ,37.7302727,128.8785089
강원 강릉시 동해대로 3970,37.8374023,128.8443841
강원 강릉시 입암로 47 ,37.7512832,128.9124838
강원 강릉시 동해대로 3292,37.751853,128.8760574
강원 강릉시 교동하슬라로 233,37.7706468,128.8754404
강원 강릉시 성산면 영동고속도로 232-1,37.7187293,128.8320709
강원 강릉시 영동고속도로 231-1,37.751853,128.8760574
강원 강릉시 경강로 2224 ,37.7627776,128.906864
강원 강릉시 주문진읍 신리천로 95,37.881991,128.821099
강원 강릉시 강릉대로 432 ,37.7718543,128.9115459
강원 강릉시 하슬라로 159 ,37.7643418,128.8744218
강원 강릉시 동해대로3305번길 7 ,37.7853101,128.8722461
강원 강릉시 성산면 구산길 16,37.7190386,128.8323391
강원 강릉시 유산로 19 ,37.7379663,128.9152402
강원 강릉시 경강로 1932 ,37.74754,128.8810324
강원 강릉시 경강로 2101,37.7552848,128.896491
강원 강릉시 입암로 12 ,37.7481627,128.9114696
강원 강릉시 동해대로 3433 ,37.792728,128.8622384
강원 강릉시 안현로 40 ,37.8004224,128.864843
강원 강릉시 성산면 구산길 44,37.7168719,128.8312827
강원 강릉시 주문진읍 동해대로 4730,37.898107,128.8211245
강원 강릉시 경강로 2225,37.7633182,128.9066221
강원 강릉시 사천면 구라미등길 3,37.8436549,128.8401617
강원 강릉시 구정면 동해고속도로 345-1,37.7181403,128.8796923
강원 강릉시 구정면 동해고속도로 346,37.7181403,128.8796923
강원 강릉시 경강로1804번길 8 ,37.7453079,128.8668451
강원 강릉시 경강로 1843 ,37.7465398,128.8712246
강원 강릉시 동해대로 2336,37.7291084,128.9329581
강원 강릉시 남부로 136 ,37.7420619,128.8953614
강원 강릉시 경강로 1889 ,37.7473353,128.876339
강원 강릉시 남부로 67 ,37.7407188,128.8878216
강원 강릉시 가작로 308 ,37.7707566,128.9092486
강원 강릉시 남구길 31,37.7654636,128.9044986
강원 강릉시 강동면 율곡로 2170,37.7274338,128.9582831
강원 강릉시 경강로 2344,37.7690098,128.9172304
강원 강릉시 옥가로 37 ,37.7597196,128.8994499
강원 강릉시 사천면 동해대로 3937,37.8346178,128.8454487
강원 강릉시 주문진읍 신영길 43,37.9056781,128.8167294
강원 강릉시 연곡면 동해대로 4069,37.8459918,128.8400746
강원 강릉시 사임당로 31 ,37.7484202,128.8621586
강원 강릉시 사천면 동해대로 3739,37.8178033,128.8516888
강원 강릉시 사천면 동해대로 3662,37.8118868,128.8569587
강원 강릉시 임영로 242 ,37.7626139,128.8924233
강원 강릉시 연곡면 삼산리 진고개로1515,37.8470774,128.7058382
강원 강릉시 공제로437번길 1 ,37.746133,128.8676161
강원 강릉시 경강로 2395 ,37.7720298,128.9219908
강원 강릉시 범일로 596 ,37.74081049999999,128.8804035
강원 강릉시 경강로 2578 ,37.7733083,128.9413693
강원 강릉시 연곡면 진고개로 2720,37.8590717,128.8363967
강원 강릉시 연곡면 동해대로 4276,37.8633598,128.8383942
강원 강릉시 옥계면 동해고속도로 322,37.6126866,129.0379266
강원 강릉시 옥계면 동해대로 321,37.6164437,129.0469492
강원 강릉시 옥계면 현내시장길 14,37.6131626,129.0383369
강원 강릉시 왕산면 백두대간로 1986,37.67174929999999,128.8386562
강원 강릉시 율곡로 2573 ,37.7412665,128.9192219
강원 강릉시 구정면 범일로 23,37.7097393,128.9129121
강원 강릉시 강릉대로 308 ,37.7637118,128.902179
강원 강릉시 강동면 율곡로 2202,37.7277547,128.9547161
강원 강릉시 성덕포남로 97 ,37.7625269,128.91528
강원 강릉시 강동면 헌화로 1073,37.6887663,129.0323016
강원 강릉시 화부산로141번안길 6-6,37.7664138,128.894874
강원 강릉시 주문진읍 동해대로 4623,37.8885719,128.8196759
강원 강릉시 주문진읍 동해대로 4785,37.9023271,128.8176646
강원 강릉시 동해대로 3373,37.7897014,128.8677665
강원 강릉시 연곡면 동해대로 4094,37.84729830000001,128.8428482
강원 강릉시 경강로 2228 ,37.7629346,128.907068
강원 강릉시 강릉대로 489 ,37.77649,128.9152637
강원 강릉시 강동면 동해대로 1891,37.7171162,128.9784849
강원 강릉시 주문진읍 주문북로 106,37.9024532,128.8251572
강원 강릉시 성덕로 81 ,37.7665716,128.9424768
강원 강릉시 해안로 321 ,37.7929954,128.9176029
강원 강릉시 연곡면 진고개로 2283-3,37.8534629,128.7907649
강원 강릉시 경강로 1935 ,37.7479926,128.8814667
강원 강릉시 율곡로 2636 ,37.7452707,128.9142244
강원 강릉시 연곡면 동해대로 4357,37.8699049,128.8343096
강원 강릉시 가작로 227,37.7712208,128.8999433
강원 강릉시 강릉대로 161 ,37.7574671,128.88815
강원 강릉시 경강로 1850 ,37.7459739,128.8723198
강원 강릉시 명륜로 45,37.7651567,128.8983647
강원 강릉시 관솔길 27 ,37.7393119,128.8701052
강원 고성군 간성읍 탑동길 4-15,38.377689,128.4759418
강원 고성군 현내면 금강산로 49,38.48386110000001,128.4276234
강원 고성군 거진읍 거탄진로 0,38.4436442,128.4530379
강원 고성군 거진읍 거탄진로 44,38.4391509,128.4520401
강원 고성군 죽왕면 동해대로 6176,38.3499716,128.5097954
강원 고성군 간성읍 간성로 32,38.3791364,128.4715768
강원도 고성군 토성면 청간정길 6-2,38.2656697,128.555622
강원 고성군 거진읍 진부령로 2875,38.3879103,128.4589519
강원 고성군 토성면 미시령로 2635,38.2069023,128.4944877
강원 고성군 거진읍 거탄진로 84,38.4427486,128.4535965
강원 고성군 토성면 미시령로 2699,38.2066209,128.501572
강원 고성군 토성면 동해대로 5439,38.2913301,128.5446101
강원 고성군 토성면 동해대로 5210,38.2717076,128.5488018
강원 고성군 토성면 중앙로 511,38.2307761,128.5800965
강원 고성군 토성면 동해대로 4567,38.2218899,128.5638349
강원 고성군 토성면 동해대로 5199,38.2704292,128.5491636
강원 고성군 현내면 금강산로 474,38.5146032,128.4189127
강원 고성군 간성읍 진부령로 1818,38.3243006,128.3894987
강원 동해시 효자로 723 ,37.4927191,129.1134416
강원 동해시 동해대로 5361 ,37.5311952,129.1068506
강원 동해시 동해대로 4985,37.5311952,129.1068506
강원 동해시 강원남부로 4591 ,37.4605183,129.1150946
강원 동해시 동해대로 4912 ,37.5311952,129.1068506
강원 동해시 동해대로 5133 ,37.5311952,129.1068506
강원 동해시 해안로 63 ,37.5098452,129.1249423
강원 동해시 동해대로 6121,37.5311952,129.1068506
강원 동해시 공단1로 7-13 ,37.4714169,129.1409009
강원 동해시 강원남부로 4650 ,37.4656145,129.115488
강원 동해시 동해대로 4683,37.5311952,129.1068506
강원 동해시 대동로 263 ,37.4929244,129.1243967
강원도 동해시  동해대로 5480 ,37.5311952,129.1068506
강원 동해시 동해대로 5161 ,37.5311952,129.1068506
강원 동해시 동해대로 6036 ,37.5311952,129.1068506
강원 동해시 동해대로 5050 ,37.5311952,129.1068506
강원 동해시 대동로 249 ,37.4878765,129.127786
강원 동해시 동해대로 4772 ,37.5311952,129.1068506
강원 동해시 동해대로 6124 ,37.5311952,129.1068506
강원 동해시 발한로 39 ,37.5361084,129.1028983
강원도 동해시 해안로 595 ,37.5529463,129.104208
강원 동해시 대동로 261-28 ,37.4928905,129.121706
강원 동해시 효자로 636,37.4911753,129.1040714
강원 동해시 동해대로 5155 ,37.5311952,129.1068506
강원 동해시 발한로 369 ,37.5607899,129.1018857
강원 동해시 용정로 55 ,37.49953319999999,129.1182204
강원 동해시 효자로 400 ,37.4821264,129.0816302
강원 동해시 효자로 576 ,37.4881902,129.0981679
강원 동해시 용정로 169 ,37.5029714,129.1261511
강원 동해시 동해대로 5090,37.5311952,129.1068506
강원 동해시 해안로 197 ,37.5209276,129.1197635
강원 동해시 동해대로 6427 ,37.5311952,129.1068506
강원 동해시 효자로 277 ,37.4884923,129.0706551
강원 동해시 발한로 384 ,37.5622958,129.1013669
강원도 삼척시 근덕면 삼척로 2771,37.3408159,129.2588691
강원 삼척시 동해대로 4011 ,37.4396019,129.1799108
강원 삼척시 동해대로 4323 ,37.4575965,129.161
강원 삼척시 근덕면 삼척로 3559,37.3408159,129.2588691
강원 삼척시 오십천로 457 ,37.43973829999999,129.168363
강원 삼척시 원덕읍 삼척로 865,37.2143082,129.3356287
강원 삼척시 신기면 강원남부로 2620,37.3215618,129.076601
강원 삼척시 미로면 강원남부로 3967,37.41314819999999,129.1111872
강원 삼척시 근덕면 삼척로 3071,37.3408159,129.2588691
강원 삼척시 도계읍 강원남부로 1818,37.2383019,129.0460044
강원 삼척시 도계읍 강원남부로 1560,37.2429616,129.0467975
강원 삼척시 오십천로 101 ,37.4433216,129.1321782
강원 삼척시 근덕면 삼척로 3393,37.3408159,129.2588691
강원 삼척시 미로면 강원남부로 3593,37.3914745,129.1020225
강원 삼척시 근덕면 삼척로 3840,37.3408159,129.2588691
강원 삼척시 동해대로 4298 ,37.4575228,129.164921
강원 삼척시 하장면 백두대간로 2689,37.3664006,128.9204602
강원 삼척시 노곡면 문의재로 2546,37.2724543,129.1786626
강원 삼척시 교동로 40 ,37.4476622,129.1668848
강원 삼척시 동해대로 4190,37.4543285,129.1760247
강원 삼척시 신기면 강원남부로 3038,37.3529275,129.085424
강원 삼척시 동해대로 4088 ,37.4455673,129.1787772
강원 삼척시 도계읍 강원남부로 1696,37.2523019,129.0546517
강원 삼척시 동해대로 3852 ,37.4295436,129.1828895
강원 삼척시 원덕읍 가곡천로 3021,37.1659138,129.3289807
강원 삼척시 원덕읍 삼척로 437-9,37.1757176,129.3353773
강원 삼척시 원덕읍 삼척로 1203,37.2319327,129.3424252
강원 삼척시 근덕면 삼척로 2158,37.3408159,129.2588691
강원 삼척시 도계읍 강원남부로 1332,37.2235525,129.0415567
강원 삼척시 하장면 백두대간로 2564,37.3501728,128.938163
강원 삼척시 원덕읍 삼척로 324,37.1677294,129.3399443
강원 속초시 동해대로 4043 ,38.1893245,128.5925827
강원 속초시 동해대로 4168 ,38.1914851,128.5799309
강원 속초시 동해대로 3834 ,38.17731,128.60322
강원 속초시 동해대로 4122 ,38.1899484,128.583485
강원 속초시 설악산로 35 ,38.1618568,128.60388
강원 속초시 설악산로 441 ,38.1643511,128.5592091
강원 속초시 설악산로 74 ,38.1612953,128.5997
강원 속초시 장안로 21 ,38.2114658,128.5918316
강원 속초시 번영로 178 ,38.2146034,128.5899625
강원 속초시 온천로 269 ,38.1930932,128.5718633
강원 속초시 동해대로 4232 ,38.1966878,128.5785348
강원 속초시 온천로 3,38.189715,128.5427316
강원 속초시 동해대로 4198 ,38.1939417,128.5781694
강원 속초시 중앙로 355 ,38.2199481,128.5908199
강원 속초시 온천로 118 ,38.1892802,128.5557581
강원 속초시 미시령로 3271 ,38.2048148,128.5653497
강원 속초시 온천로 303 ,38.193166,128.5757693
강원 속초시 온천로 161 ,38.1915353,128.559184
강원 속초시 원암학사평길 50 ,38.2070871,128.5137723
강원 속초시 동해대로 4446 ,38.21104529999999,128.564522
강원 속초시 동해대로 3885 ,38.1815364,128.6011169
강원도 속초시  관광로 486 ,38.2026031,128.5339363
강원 양구군 국토정중앙면 춘양로 3592,38.1266922,128.046404
강원 양구군 국토정중앙면 정중앙로 352,38.08809129999999,128.024812
강원도 양구군 양구읍 중심로 165 ,38.1052331,127.9905017
강원 양구군 양구읍 중심로 7,38.0916861,127.9959848
강원 양구군 해안면 해안서화로 22-4,38.2894394,128.1427594
강원 양구군 동면 금강산로 1696,38.2023743,128.0449094
강원 양구군 양구읍 춘양로 2641,38.0643962,127.9869639
강원 양구군 국토정중앙면 정중앙로 584-1,38.1061663,128.0313542
강원 양구군 방산면 평화로 5181,38.2080172,127.9509229
강원 양구군 양구읍 양구새싹로 12,38.10174050000001,127.9867098
강원 양양군 강현면 동해대로 3081,38.117119,128.6286111
강원 양양군 양양읍 동해대로 2643,38.0804872,128.6282461
강원 양양군 손양면 동해대로 1750,38.0377393,128.6958827
강원 양양군 강현면 동해대로 3343,38.1366621,128.6168695
강원 양양군 강현면 동해대로 3415,38.142196,128.6123631
강원 양양군 현남면 동해대로 376,37.94269630000001,128.7828049
강원도 양양군 현북면 동해대로 1252,38.0045675,128.7319908
강원 양양군 서면 구룡령로 2948,37.9612452,128.525577
